Symbol,Company,Sector
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Tea & Coffee
MAXHEALTH,Max Healthcare Institute Limited,Hospital
INDIGO,InterGlobe Aviation Limited,Airline
M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles
ITC,ITC Limited,Diversified FMCG
ASIANPAINT,Asian Paints Limited,Paints
INFY,Infosys Limited,Computers - Software & Consulting
HINDUNILVR,Hindustan Unilever Limited,Diversified FMCG
TECHM,Tech Mahindra Limited,Computers - Software & Consulting
BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals
EICHERMOT,Eicher Motors Limited,2/3 Wheelers
TCS,Tata Consultancy Services Limited,Computers - Software & Consulting
POWERGRID,Power Grid Corporation of India Limited,Power - Transmission
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance
TITAN,Titan Company Limited,Gems Jewellery And Watches
NTPC,NTPC Limited,Power Generation
NESTLEIND,Nestle India Limited,Packaged Foods
COALINDIA,Coal India Limited,Coal
LT,Larsen & Toubro Limited,Civil Construction
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products
RELIANCE,Reliance Industries Limited,Refineries & Marketing
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals
SBILIFE,SBI Life Insurance Company Limited,Life Insurance
SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC)
TRENT,Trent Limited,Speciality Retail
KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production
WIPRO,Wipro Limited,Computers - Software & Consulting
AXISBANK,Axis Bank Limited,Private Sector Bank
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services
SBIN,State Bank of India,Public Sector Bank
GRASIM,Grasim Industries Limited,Cement & Cement Products
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers
ICICIBANK,ICICI Bank Limited,Private Sector Bank
HDFCBANK,HDFC Bank Limited,Private Sector Bank
ADANIENT,Adani Enterprises Limited,Trading - Minerals
CIPLA,Cipla Limited,Pharmaceuticals
BEL,Bharat Electronics Limited,Aerospace & Defense
JIOFIN,Jio Financial Services Limited,Investment Company
ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce
BAJAJFINSV,Bajaj Finserv Limited,Holding Company
HCLTECH,HCL Technologies Limited,Computers - Software & Consulting
BAJFINANCE,Bajaj Finance Limited,Non Banking Financial Company (NBFC)
TATASTEEL,Tata Steel Limited,Iron & Steel
HINDALCO,Hindalco Industries Limited,Aluminium
JSWSTEEL,JSW Steel Limited,Iron & Steel
